No,AA,C#,Mw,HLB,EO,Conc,pH,IE,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
62.0,99.5,12.0,650.5,13.5,10.0,0.005,4.9,66.62,,,,,,,,,,,,,,,
63.0,99.5,18.0,500.25,8.5,5.0,0.005,4.9,23.68,,,,,,,,,,,,,,,
64.0,99.0,18.0,2047.0,17.3,40.0,0.005,4.9,67.78,,,,,,,,,,,,,,,
65.0,99.0,55.0,9740.0,18.0,200.0,0.005,4.9,77.03,,,,,,,,,,,,,,,
66.0,99.5,55.0,2692.0,13.0,40.0,0.005,4.9,77.0,,,,,,,,,,,,,,,
67.0,97.0,55.0,2692.0,14.0,40.0,0.005,4.9,72.66,,,,,,,,,,,,,,,
68.0,90.0,13.0,684.55,14.0,11.0,0.005,4.9,61.99,,,,,,,,,,,,,,,
69.0,99.5,17.0,744.55,13.0,11.0,0.005,4.9,50.97,,,,,,,,,,,,,,,
70.0,99.5,17.0,1361.25,16.1,25.0,0.005,4.9,69.05,,,,,,,,,,,,,,,
71.0,99.5,17.0,2462.5,17.9,50.0,0.005,4.9,89.14,,,,,,,,,,,,,,,
72.0,99.0,17.0,3784.0,20.0,80.0,0.005,4.9,75.43,,,,,,,,,,,,,,,
73.0,99.8,10.0,270.13,8.1,3.0,0.005,4.9,59.83,,,,,,,,,,,,,,,
74.0,99.5,10.0,424.3,12.5,6.0,0.005,4.9,57.41,,,,,,,,,,,,,,,
75.0,99.0,13.0,1962.0,18.0,40.0,0.005,4.9,71.12,,,,,,,,,,,,,,,
76.0,99.5,13.0,640.5,13.6,10.0,0.005,4.9,67.12,,,,,,,,,,,,,,,
77.0,99.5,0.0,3300.0,4.5,8.0,0.005,4.9,14.78,,,,,,,,,,,,,,,
78.0,99.5,0.0,1100.0,4.0,8.0,0.005,4.9,21.47,,,,,,,,,,,,,,,
79.0,99.5,0.0,1900.0,21.5,20.0,0.005,4.9,28.28,,,,,,,,,,,,,,,
80.0,99.5,0.0,8400.0,24.0,164.0,0.005,4.9,33.84,,,,,,,,,,,,,,,
81.0,99.5,0.0,14600.0,24.0,272.0,0.005,4.9,28.04,,,,,,,,,,,,,,,
82.0,99.5,0.0,12600.0,21.5,190.0,0.005,4.9,29.79,,,,,,,,,,,,,,,
83.0,50.0,0.0,62.0,8.3,1.0,0.005,4.9,37.35,,,,,,,,,,,,,,,
84.0,64.0,8.0,625.0,13.5,10.0,0.005,4.9,64.2,,,,,,,,,,,,,,,
85.0,70.0,12.0,1228.0,16.7,20.0,0.005,4.9,55.23,,,,,,,,,,,,,,,
86.0,50.0,18.0,1310.0,15.0,20.0,0.005,4.9,74.2,,,,,,,,,,,,,,,
87.0,99.0,9.0,346.0,8.6,0.0,0.005,4.9,37.96,,,,,,,,,,,,,,,
88.0,100.0,17.0,428.0,4.3,0.0,0.005,4.9,40.55,,,,,,,,,,,,,,,
89.0,100.0,13.0,,,,0.005,4.9,31.86,,,,,,,,,,,,,,,
90.0,100.0,9.0,,,,0.005,4.9,42.47,,,,,,,,,,,,,,,
91.0,100.0,9.0,,,,0.005,4.9,28.78,,,,,,,,,,,,,,,
92.0,97.0,12.0,,,,0.005,4.9,32.04,,,,,,,,,,,,,,,
93.0,100.0,0.0,2000.0,3.0,,0.005,4.9,63.19,,,,,,,,,,,,,,,
94.0,100.0,0.0,2500.0,7.0,,0.005,4.9,68.79,,,,,,,,,,,,,,,
95.0,100.0,0.0,3800.0,1.0,,0.005,4.9,70.78,,,,,,,,,,,,,,,
96.0,100.0,,333.0,8.0,3.0,0.005,4.9,42.83,,,,,,,,,,,,,,,
97.0,95.0,,1496.0,17.4,30.0,0.005,4.9,73.25,,,,,,,,,,,,,,,
98.0,100.0,,1000.0,5.0,,0.005,4.9,89.03,,,,,,,,,,,,,,,
99.0,100.0,11.0,,6.0,,0.005,4.9,58.49,,,,,,,,,,,,,,,
100.0,100.0,,394.0,10.9,5.0,0.005,4.9,57.22,,,,,,,,,,,,,,,
101.0,95.0,,2877.0,18.0,60.0,0.005,4.9,73.7,,,,,,,,,,,,,,,
102.0,99.0,0.0,5900.0,13.0,,0.005,4.9,73.26,,,,,,,,,,,,,,,
