No,AA,C#,Mw,HLB,EO,Conc,pH,IE,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
267.0,100.0,9.0,,,,0.1,4.9,,,,,,,,,,,,,,,,
268.0,100.0,9.0,,,,0.1,4.9,,,,,,,,,,,,,,,,
269.0,97.0,12.0,,,,0.1,4.9,,,,,,,,,,,,,,,,
270.0,100.0,0.0,2000.0,3.0,,0.1,4.9,91.49,,,,,,,,,,,,,,,
271.0,100.0,0.0,2500.0,7.0,,0.1,4.9,57.92,,,,,,,,,,,,,,,
272.0,100.0,0.0,3800.0,1.0,,0.1,4.9,79.68,,,,,,,,,,,,,,,
273.0,100.0,,333.0,8.0,3.0,0.1,4.9,19.73,,,,,,,,,,,,,,,
274.0,95.0,,1496.0,17.4,30.0,0.1,4.9,90.72,,,,,,,,,,,,,,,
275.0,100.0,,1000.0,5.0,,0.1,4.9,77.4,,,,,,,,,,,,,,,
276.0,100.0,11.0,,6.0,,0.1,4.9,93.27,,,,,,,,,,,,,,,
277.0,100.0,,394.0,10.9,5.0,0.1,4.9,,,,,,,,,,,,,,,,
278.0,95.0,,2877.0,18.0,60.0,0.1,4.9,58.97,,,,,,,,,,,,,,,
279.0,99.0,0.0,5900.0,13.0,,0.1,4.9,84.27,,,,,,,,,,,,,,,
280.0,100.0,,3650.0,7.0,,0.1,4.9,83.86,,,,,,,,,,,,,,,
281.0,100.0,0.0,6200.0,14.0,,0.1,4.9,45.36,,,,,,,,,,,,,,,
282.0,100.0,11.0,569.0,13.9,9.0,0.1,4.9,48.12,,,,,,,,,,,,,,,
283.0,100.0,10.0,425.0,12.4,6.0,0.1,4.9,12.2,,,,,,,,,,,,,,,
284.0,100.0,,,5.0,2.0,0.1,4.9,72.68,,,,,,,,,,,,,,,
285.0,100.0,0.0,7900.0,13.0,,0.1,4.9,94.04,,,,,,,,,,,,,,,
286.0,99.5,13.0,1520.0,17.4,31.0,0.1,4.9,8.29,,,,,,,,,,,,,,,
287.0,99.5,,,12.5,,0.1,4.9,83.08,,,,,,,,,,,,,,,
288.0,99.0,14.0,735.0,14.0,,0.1,4.9,88.91,,,,,,,,,,,,,,,
289.0,70.0,8.0,1526.0,17.3,30.0,0.1,4.9,53.62,,,,,,,,,,,,,,,
290.0,99.5,0.0,2000.0,15.0,10.0,0.1,4.9,55.94,,,,,,,,,,,,,,,
291.0,99.5,0.0,5800.0,8.0,20.0,0.1,4.9,88.48,,,,,,,,,,,,,,,
292.0,35.0,,,,,0.1,4.9,69.12,,,,,,,,,,,,,,,
293.0,85.0,9.0,1338.7071,,,0.1,4.9,74.28,,,,,,,,,,,,,,,
294.0,99.5,17.0,,5.0,,0.1,4.9,77.37,,,,,,,,,,,,,,,
295.0,40.0,21.0,,,,0.1,4.9,40.92,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
,,,,,,,4.9,,,,,,,,,,,,,,,,
