C#,Mw,HLB,EO,Conc,pH,IE,medium
,2877.0,18.0,60.0,0.005,0.5,70.015,HCl
0.0,5900.0,13.0,,0.005,0.5,72.5274,HCl
,3650.0,7.0,,0.005,0.5,70.77,HCl
0.0,6200.0,14.0,,0.005,0.5,70.98,HCl
11.0,569.0,13.9,9.0,0.005,0.5,83.28,HCl
10.0,425.0,12.4,6.0,0.005,0.5,66.51,HCl
,,5.0,2.0,0.005,0.5,83.69,HCl
0.0,7900.0,13.0,,0.005,0.5,66.7,HCl
13.0,1520.0,17.4,31.0,0.005,0.5,92.0574,HCl
,,12.5,,0.005,0.5,82.54519999999998,HCl
14.0,735.0,14.0,,0.005,0.5,88.42679999999999,HCl
8.0,1526.0,17.3,30.0,0.005,0.5,47.817,HCl
0.0,2000.0,15.0,10.0,0.005,0.5,13.26335,HCl
0.0,5800.0,8.0,20.0,0.005,0.5,70.1674,HCl
,,,,0.005,0.5,30.4325,HCl
9.0,1338.71,,,0.005,0.5,59.313,HCl
17.0,,5.0,,0.005,0.5,70.21714999999999,HCl
21.0,,,,0.005,0.5,15.9,HCl
