,LinearRegression,RandomForest,PermutationImportance,Mean
pH,0.6035496823994512,1.0,1.0,0.8678498941331504
Mw,0.8972346963778239,0.30703573936033146,0.019503942955916367,0.4079247928980239
EO,1.0,0.16015730694255456,0.015610439450101259,0.3919225821308853
Conc,0.29739942692655563,0.4685221511931991,0.20327590473647367,0.3230658276187428
C#,0.3775985313766129,0.26769684389953535,0.03919511873852644,0.22816349800489158
HLB,0.24712099873772958,0.3919074477776762,0.02746994143299303,0.22216612931613297
