C#,Mw,HLB,EO,Medium,Optimal_Conc,Max_IE
55.0,9740.0,18.0,200.0,HCl,0.6626235770364844,17.49907642299274
17.0,2462.5,17.9,50.0,HCl,0.6626235770364844,17.499076422992736
17.0,3784.0,20.0,80.0,HCl,0.6626235770364844,17.49907642299274
12.0,650.5,13.5,10.0,HCl,0.6626235770364844,17.499076422992736
18.0,2047.0,17.3,40.0,HCl,0.6626235770364844,17.499076422992736
55.0,9740.0,18.0,200.0,NaCl,0.6626235770364844,4.038805788871998
17.0,2462.5,17.9,50.0,NaCl,0.6626235770364844,4.038805788871997
17.0,3784.0,20.0,80.0,NaCl,0.6626235770364844,4.038805788871995
12.0,650.5,13.5,10.0,NaCl,0.6626235770364844,4.038805788871998
18.0,2047.0,17.3,40.0,NaCl,0.6626235770364844,4.038805788871997
55.0,9740.0,18.0,200.0,CPS,0.6626235770364844,4.038805788871998
17.0,2462.5,17.9,50.0,CPS,0.6626235770364844,4.038805788871994
17.0,3784.0,20.0,80.0,CPS,0.6626235770364844,4.038805788871994
12.0,650.5,13.5,10.0,CPS,0.6626235770364844,4.038805788871997
18.0,2047.0,17.3,40.0,CPS,0.6626235770364844,4.038805788871995
