No,AA,C#,Mw,HLB,EO,Conc,pH,IE,medium
82.0,99.5,0.0,12600.0,21.5,190.0,0.005,0.5,29.79,HCl
83.0,50.0,0.0,62.0,8.3,1.0,0.005,0.5,37.35,HCl
84.0,64.0,8.0,625.0,13.5,10.0,0.005,0.5,64.2,HCl
85.0,70.0,12.0,1228.0,16.7,20.0,0.005,0.5,55.23,HCl
86.0,50.0,18.0,1310.0,15.0,20.0,0.005,0.5,74.2,HCl
87.0,99.0,9.0,346.0,8.6,0.0,0.005,0.5,37.96,HCl
88.0,100.0,17.0,428.0,4.3,0.0,0.005,0.5,40.55,HCl
89.0,100.0,13.0,,,,0.005,0.5,31.86,HCl
90.0,100.0,9.0,,,,0.005,0.5,42.47,HCl
91.0,100.0,9.0,,,,0.005,0.5,28.78,HCl
92.0,97.0,12.0,,,,0.005,0.5,32.04,HCl
93.0,100.0,0.0,2000.0,3.0,,0.005,0.5,63.19,HCl
94.0,100.0,0.0,2500.0,7.0,,0.005,0.5,68.79,HCl
95.0,100.0,0.0,3800.0,1.0,,0.005,0.5,70.78,HCl
96.0,100.0,,333.0,8.0,3.0,0.005,0.5,42.83,HCl
97.0,95.0,,1496.0,17.4,30.0,0.005,0.5,73.25,HCl
98.0,100.0,,1000.0,5.0,,0.005,0.5,89.03,HCl
99.0,100.0,11.0,,6.0,,0.005,0.5,58.49,HCl
100.0,100.0,,394.0,10.9,5.0,0.005,0.5,57.22,HCl
101.0,95.0,,2877.0,18.0,60.0,0.005,0.5,73.7,HCl
102.0,99.0,0.0,5900.0,13.0,,0.005,0.5,73.26,HCl
103.0,100.0,,3650.0,7.0,,0.005,0.5,70.77,HCl
104.0,100.0,0.0,6200.0,14.0,,0.005,0.5,70.98,HCl
105.0,100.0,11.0,569.0,13.9,9.0,0.005,0.5,83.28,HCl
106.0,100.0,10.0,425.0,12.4,6.0,0.005,0.5,66.51,HCl
107.0,100.0,,,5.0,2.0,0.005,0.5,83.69,HCl
108.0,100.0,0.0,7900.0,13.0,,0.005,0.5,66.7,HCl
109.0,99.5,13.0,1520.0,17.4,31.0,0.005,0.5,92.52,HCl
110.0,99.5,,,12.5,,0.005,0.5,82.96,HCl
111.0,99.0,14.0,735.0,14.0,,0.005,0.5,89.32,HCl
112.0,70.0,8.0,1526.0,17.3,30.0,0.005,0.5,68.31,HCl
113.0,99.5,0.0,2000.0,15.0,10.0,0.005,0.5,13.33,HCl
114.0,99.5,0.0,5800.0,8.0,20.0,0.005,0.5,70.52,HCl
115.0,35.0,,,,,0.005,0.5,86.95,HCl
116.0,85.0,9.0,1338.71,,,0.005,0.5,69.78,HCl
117.0,99.5,17.0,,5.0,,0.005,0.5,70.57,HCl
118.0,40.0,21.0,,,,0.005,0.5,39.75,HCl
