Feature,S1,S1_conf,ST,ST_conf,Interaction
C#,0.15582611770855656,0.030023243831518685,0.3683470259057985,0.02745567852081585,0.21252090819724193
HLB,0.22324568934942263,0.022996785185086913,0.31005435581131746,0.019089927009551044,0.08680866646189483
Conc,0.11910981099370194,0.022637331008227263,0.3001007835718096,0.02918096680908221,0.18099097257810765
EO,0.17791082567607128,0.032941200290653276,0.2327509230818888,0.0201924943741364,0.05484009740581752
Mw,0.060815181516012715,0.013981095668572231,0.09308140057294643,0.00872124959933556,0.03226621905693372
