Feature,S1,S1_conf,ST,ST_conf,Interaction
HLB,0.32261878545315137,0.031903567071044844,0.38843844242049036,0.02727613859354026,0.06581965696733899
pH,0.2790720445767415,0.025236071720108878,0.35825013091207897,0.02438286076636616,0.07917808633533746
Mw,0.17943483816245895,0.01896875780050297,0.20907009780367086,0.01222651772895353,0.029635259641211914
Conc,0.033768992727516815,0.014296066480764147,0.10224850234678218,0.01046131071041858,0.06847950961926536
C#,0.026396550111434564,0.014072075859208102,0.09971729320802847,0.009073622802788213,0.07332074309659391
EO,0.015240650264701918,0.0061266098419856295,0.024033500635188897,0.002665956234609356,0.00879285037048698
