Feature,S1,S1_conf,ST,ST_conf,Interaction
C#,0.4236535561961353,0.039390054407867865,0.5665734664156811,0.03110572501280801,0.14291991021954575
Conc,0.05487948023908428,0.019554588986771457,0.22377902458007828,0.016468807442048476,0.168899544340994
Mw,0.18131821991396505,0.019210197611250857,0.19678362851621123,0.011218689798289149,0.015465408602246183
HLB,0.13812281108657865,0.019056983944919875,0.18469248727301313,0.009586980038565786,0.04656967618643448
EO,0.01716052700871757,0.008681531903121542,0.03917779477626423,0.004626688214540332,0.022017267767546658
