Feature,S1,S1_conf,ST,ST_conf,Interaction
HLB,0.41531398283170484,0.034510076215252164,0.5348456734971347,0.03319241482442505,0.1195316906654299
Conc,0.19593187024876083,0.02272443691220103,0.31422347863110794,0.020103740074651783,0.11829160838234712
Mw,0.1833403052873454,0.02044964672341137,0.2323767588638919,0.015625171129473175,0.049036453576546485
C#,0.04046399034330336,0.01245092482905134,0.0752087687673258,0.004725805488227646,0.03474477842402243
EO,0.0026874293457344444,0.004971056781099141,0.014790926882259746,0.0011968439153381956,0.012103497536525301
