Feature,S1,S1_conf,ST,ST_conf,Interaction
Conc,0.5237016698773359,0.03315323127747819,0.7180563925338348,0.041483216262272235,0.1943547226564989
HLB,0.2244843382388728,0.021137695047401622,0.39030541775115607,0.021808356933631604,0.16582107951228328
C#,0.01712967833083456,0.013120139272338266,0.0745301207429883,0.006717704114139191,0.05740044241215374
EO,0.015919827339816162,0.006736595367027889,0.025333129973014373,0.003590908495332141,0.009413302633198211
Mw,0.00789619242767602,0.005668224541627027,0.015583793612741936,0.0012174701969790412,0.007687601185065916
