Feature,S1,S1_conf,ST,ST_conf,Interaction
HLB,0.48630894567657595,0.04425561531694207,0.6055315092107716,0.030451933851206012,0.11922256353419564
Conc,0.10245233668793916,0.020537918964612715,0.2430966058671228,0.018744263828444834,0.14064426917918366
Mw,0.11328526617611769,0.026660349065354593,0.1810174810019951,0.016105763184908296,0.06773221482587742
C#,0.07457484985533251,0.016995189861974996,0.1172783368931095,0.00754675609724446,0.04270348703777699
EO,0.04962740221551358,0.0104554271731885,0.06368352135424551,0.004119595332822375,0.014056119138731935
