Feature,S1,S1_conf,ST,ST_conf,Interaction
C#,0.5595767843160167,0.038458482783735475,0.724083209157347,0.03643949846135357,0.16450642484133038
Conc,0.07834295792755386,0.022492732767891505,0.28271120415455375,0.022039297845150924,0.2043682462269999
HLB,0.08012774830917674,0.015247407942723421,0.1061792792402308,0.007463468343927066,0.026051530931054057
Mw,0.05363817918710229,0.01340014263311281,0.0792020628231221,0.0061459990290536,0.02556388363601981
EO,0.010451205546068066,0.009989186625784593,0.0421920882714847,0.005313971604073388,0.031740882725416635
