Feature,S1,S1_conf,ST,ST_conf,Interaction
HLB,0.2205825413241824,0.03172097046517034,0.46791003964404954,0.020079889405818563,0.24732749831986714
Mw,0.3844066822838869,0.03176075557479219,0.4174264311615501,0.020129822197149542,0.03301974887766318
C#,0.10815719459885402,0.02864922087958657,0.34701720929904967,0.025159378737582276,0.23886001470019563
EO,0.03083900003047075,0.011013702838956297,0.054705194429898706,0.006153342437482791,0.023866194399427956
Conc,0.0,0.0,0.0,0.0,0.0
