Feature,S1,S1_conf,ST,ST_conf,Interaction
pH,0.3405527490471802,0.02800700413381992,0.4726543429274834,0.029592282589941975,0.13210159388030318
HLB,0.22715095700910784,0.03186745199975733,0.3197426493359758,0.025545825250025515,0.09259169232686795
Mw,0.12240884301025293,0.02399879373367981,0.16043118165874287,0.01448345841795319,0.038022338648489945
C#,0.021531628295684675,0.016704318130977815,0.1282047666670585,0.012086137701738848,0.10667313837137382
Conc,0.03455289929445468,0.013324914100280106,0.11257493717037839,0.011886507277346805,0.07802203787592371
EO,0.03498174039336336,0.008932431495969404,0.04337722425873873,0.0032713890008371207,0.00839548386537537
