y_true,y_pred,residual,abs_error,medium,C#,Mw,HLB,EO,Conc,pH
63.19,58.65407539752259,4.535924602477408,4.535924602477408,HCl,-1.040460533508444,-0.1776071978282839,-1.754500655935034,-1.39063491551297e-16,-0.7237696321679115,-0.9080927840616831
29.64105,45.646407124708496,-16.005357124708496,16.005357124708496,HCl,-1.040460533508444,3.392425499916129,1.679734128888991,3.0121551104768276,-0.7237696321679115,-0.9080927840616831
23.57,29.43472543110679,-5.864725431106791,5.864725431106791,NaCl,-1.5767733229713102e-16,1.531568784789933e-16,-1.3832320305486527,-0.6672768358193324,2.0490167862408804,0.1213879129715108
2.2705,6.949654031531393,-4.679154031531393,4.679154031531393,NaCl,-1.5767733229713102e-16,0.1177624885794378,1.0300140344628244,0.4678670625060787,-0.471698139585294,0.1213879129715108
62.70490000000001,54.2429244961179,8.461975503882108,8.461975503882108,CPS,0.4685350633200893,-0.0218392617238696,1.011450603193505,0.2721525972775596,-0.1916187033823857,1.899581844210664
27.99,26.06697517429706,1.9230248257029388,1.9230248257029388,NaCl,-1.5767733229713102e-16,-0.5144027353513417,-1.3832320305486527,-1.39063491551297e-16,2.0490167862408804,0.1213879129715108
64.5755,24.44525052562843,40.130249474371574,40.130249474371574,NaCl,3.841584044466223,0.0554553141376721,0.1018424709968716,0.0764381320490404,-0.471698139585294,0.1213879129715108
33.43,34.227138191345404,-0.7971381913454039,0.7971381913454039,NaCl,-0.241580511658044,1.531568784789933e-16,-6.595055619598275e-16,-1.39063491551297e-16,2.0490167862408804,0.1213879129715108
48.78485,14.978310995213208,33.80653900478679,33.80653900478679,NaCl,0.1134772758310226,-0.6354807310908811,0.2132230586127858,-0.510705263636517,-0.471698139585294,0.1213879129715108
80.3562,79.06220474164812,1.2939952583518846,1.2939952583518846,HCl,-1.040460533508444,-0.480723181599036,-1.5688663432418437,-0.5498481566822209,-0.471698139585294,-0.9080927840616831
64.4985,51.967954092147,12.53054590785301,12.53054590785301,CPS,3.841584044466223,2.4291902626001836,1.0300140344628244,3.207869575705347,-0.1916187033823857,1.899581844210664
71.54,29.090178072683155,42.44982192731685,42.44982192731685,NaCl,-1.5767733229713102e-16,0.3781054390847616,-1.0119634051622717,-1.39063491551297e-16,2.0490167862408804,0.1213879129715108
9.1072,29.470081796424594,-20.362881796424595,20.362881796424595,NaCl,-0.3303449585303107,-0.6407010619224884,0.1946596273434669,-0.520490986897943,2.0490167862408804,0.1213879129715108
35.86812,26.433548821735453,9.434571178264544,9.434571178264544,NaCl,-0.1528160647857773,-0.7602213783009837,-0.8077656611997622,-0.6574911125579065,2.0490167862408804,0.1213879129715108
81.081,77.76375686949812,3.317243130501879,3.317243130501879,HCl,0.1134772758310226,-0.1904054282541601,1.0300140344628244,0.0764381320490404,-0.471698139585294,-0.9080927840616831
10.53705,29.50567836702651,-18.968628367026508,18.968628367026508,NaCl,-1.5767733229713102e-16,1.531568784789933e-16,0.0090253146502763,-1.39063491551297e-16,2.0490167862408804,0.1213879129715108
83.69,49.294342612089345,34.39565738791065,34.39565738791065,HCl,-1.5767733229713102e-16,1.531568784789933e-16,-1.3832320305486527,-0.6672768358193324,-0.7237696321679115,-0.9080927840616831
88.0209,54.65069222518341,33.370207774816585,33.370207774816585,CPS,0.2022417227032893,-0.6036535527949521,0.2874767836900622,-1.39063491551297e-16,-0.1916187033823857,1.899581844210664
29.42215,38.714374133873186,-9.292224133873187,9.292224133873187,NaCl,0.1134772758310226,-0.3392690558393517,0.9186334468469098,-0.0997048866566268,2.0490167862408804,0.1213879129715108
45.0138,63.428305501160246,-18.414505501160242,18.414505501160242,CPS,-1.040460533508444,-0.480723181599036,-1.5688663432418437,-0.5498481566822209,-0.1916187033823857,1.899581844210664
72.5274,62.500822803951024,10.026577196048976,10.026577196048976,HCl,-1.040460533508444,1.1358953985116418,0.1018424709968716,-1.39063491551297e-16,-0.7237696321679115,-0.9080927840616831
47.817,58.26802642314713,-10.451026423147127,10.451026423147127,HCl,-0.3303449585303107,-0.3372482826142133,0.9000700155775911,-0.1192763331794787,-0.7237696321679115,-0.9080927840616831
-30.745499999999996,3.9349260090529614,-34.68042600905296,34.68042600905296,NaCl,-1.5767733229713102e-16,1.531568784789933e-16,0.0090253146502763,-1.39063491551297e-16,-0.471698139585294,0.1213879129715108
70.4088,75.68738009070924,-5.278580090709241,5.278580090709241,HCl,0.1134772758310226,-0.1904054282541601,1.0300140344628244,0.0764381320490404,-0.7237696321679115,-0.9080927840616831
12.55,-7.794636120638538,20.34463612063854,20.34463612063854,NaCl,-1.040460533508444,0.4286247697132202,-2.125769281321415,-1.39063491551297e-16,-0.471698139585294,0.1213879129715108
14.7061,51.34932575119521,-36.64322575119521,36.64322575119521,HCl,-1.040460533508444,0.2602270009516913,-1.476049186895248,-0.5498481566822209,-0.7237696321679115,-0.9080927840616831
70.21714999999999,55.03976862337659,15.177381376623401,15.177381376623401,HCl,0.4685350633200893,1.531568784789933e-16,-1.3832320305486527,-1.39063491551297e-16,-0.7237696321679115,-0.9080927840616831
-10.945,-1.0794820359916824,-9.865517964008317,9.865517964008317,NaCl,-1.040460533508444,-0.1776071978282839,0.4731110963832527,-0.510705263636517,-0.471698139585294,0.1213879129715108
35.3623,28.820881930110207,6.54141806988979,6.54141806988979,NaCl,-1.040460533508444,-0.1776071978282839,0.4731110963832527,-0.510705263636517,2.0490167862408804,0.1213879129715108
50.653400000000005,42.51280249561553,8.140597504384473,8.140597504384473,NaCl,0.0247128289587559,1.531568784789933e-16,-6.595055619598275e-16,-1.39063491551297e-16,2.0490167862408804,0.1213879129715108
