C#,Mw,HLB,EO,Conc,pH,IE,pH_original,medium
3.442253374765432,-0.07876360428007438,0.09662725701651269,-0.05926907407360289,-0.9759000729485333,1.7763568394002505e-15,64.5755,4.9,NaCl
-0.17433458005266836,-0.5175364918935449,-3.1409171933086533e-16,-1.286792528945786e-16,-0.9759000729485333,1.7763568394002505e-15,-19.5925,4.9,NaCl
-0.01709162549535965,-1.4744127887077416e-16,-1.1410981743548005,-1.286792528945786e-16,1.0246950765959597,1.7763568394002505e-15,31.57,4.9,NaCl
-0.17433458005266836,-1.4744127887077416e-16,-3.1409171933086533e-16,-1.286792528945786e-16,1.0246950765959597,1.7763568394002505e-15,59.83,4.9,NaCl
-0.8819278755605576,-0.3031285506171652,0.4502630945511736,-0.6025689197482947,1.0246950765959597,1.7763568394002505e-15,35.3623,4.9,NaCl
-0.8819278755605576,1.6098095756672794,0.09662725701651269,-1.286792528945786e-16,-0.9759000729485333,1.7763568394002505e-15,33.89,4.9,NaCl
0.0,-0.8238367931278123,-0.2746903723948812,-0.6931188940274101,1.0246950765959597,1.7763568394002505e-15,-12.27,4.9,NaCl
-0.8819278755605576,0.11836629076754297,-1.4063250525057962,-0.6387889094599409,1.0246950765959597,1.7763568394002505e-15,31.7206,4.9,NaCl
-0.17433458005266836,-0.83939967957894,-0.6813715855597413,-0.7836688683065254,-0.9759000729485333,1.7763568394002505e-15,22.5027,4.9,NaCl
-0.8819278755605576,-0.5949326715758093,-1.4947340118894614,-0.6387889094599409,-0.9759000729485333,1.7763568394002505e-15,-35.7404,4.9,NaCl
0.4546372381765665,-0.15317365512452863,0.9630350589764317,0.12183087448462773,-0.9759000729485333,1.7763568394002505e-15,59.6602,4.9,NaCl
0.06152985178329471,-0.7406726186545988,0.18503621640017792,-0.6025689197482947,1.0246950765959597,1.7763568394002505e-15,44.645649999999996,4.9,NaCl
0.0,-1.4744127887077416e-16,-1.317916093122131,-0.7474488785948793,1.0246950765959597,1.7763568394002505e-15,23.57,4.9,NaCl
0.0,-0.6273553516823253,-1.317916093122131,-1.286792528945786e-16,1.0246950765959597,1.7763568394002505e-15,27.99,4.9,NaCl
-0.8819278755605576,-0.3355512307236812,1.5995795665388215,-0.42146897119006416,1.0246950765959597,1.7763568394002505e-15,11.85045,4.9,NaCl
0.14015132906194908,-0.872454601947533,-1.5477793875196604,-0.7655588734507023,1.0246950765959597,1.7763568394002505e-15,95.12478000000002,4.9,NaCl
0.14015132906194908,-0.7867614584260113,-0.027145286120618495,-0.6568989043157639,-0.9759000729485333,1.7763568394002505e-15,13.0146,4.9,NaCl
-0.8819278755605576,-0.3031285506171652,-1.6715519306567919,-1.286792528945786e-16,1.0246950765959597,1.7763568394002505e-15,24.86,4.9,NaCl
-0.8819278755605576,0.9613559735369593,0.09662725701651269,-1.286792528945786e-16,-0.9759000729485333,1.7763568394002505e-15,5.405399999999999,4.9,NaCl
0.0,-0.018781646083019753,0.980716850853165,0.30293082304285834,-0.9759000729485333,1.7763568394002505e-15,2.2705,4.9,NaCl
0.5332587154552209,-0.28788989096710266,0.8569443077160338,-0.05926907407360289,-0.9759000729485333,1.7763568394002505e-15,60.1821,4.9,NaCl
0.14015132906194908,-0.31544916905764125,0.980716850853165,-0.05926907407360289,-0.9759000729485333,1.7763568394002505e-15,42.0255,4.9,NaCl
-0.8819278755605576,0.11836629076754297,-1.4063250525057962,-0.6387889094599409,-0.9759000729485333,1.7763568394002505e-15,-28.496799999999997,4.9,NaCl
-0.2529560573313227,-0.4568120543220511,0.8569443077160338,-0.24036902263183352,-0.9759000729485333,1.7763568394002505e-15,0.784,4.9,NaCl
0.0,-0.8238367931278123,-0.2746903723948812,-0.6931188940274101,-0.9759000729485333,1.7763568394002505e-15,-20.11,4.9,NaCl
