No,AA,C#,Mw,HLB,EO,Conc,pH,IE,medium
198.0,99.5,0.0,8400.0,24.0,164.0,0.5,4.9,21.69,NaCl
199.0,99.5,0.0,14600.0,24.0,272.0,0.5,4.9,28.77,NaCl
200.0,99.5,0.0,12600.0,21.5,190.0,0.5,4.9,40.27,NaCl
201.0,50.0,0.0,62.0,8.3,1.0,0.5,4.9,9.92,NaCl
202.0,64.0,8.0,625.0,13.5,9.5,0.5,4.9,14.23,NaCl
203.0,70.0,12.0,1228.0,16.7,20.0,0.5,4.9,66.16,NaCl
204.0,50.0,18.0,1310.0,15.0,20.0,0.5,4.9,66.73,NaCl
205.0,99.0,9.0,346.0,8.6,0.0,0.5,4.9,46.3,NaCl
206.0,100.0,17.0,428.0,4.3,0.0,0.5,4.9,46.06,NaCl
207.0,100.0,13.0,,,,0.5,4.9,91.29,NaCl
208.0,100.0,9.0,,,,0.5,4.9,33.43,NaCl
209.0,100.0,9.0,,,,0.5,4.9,59.83,NaCl
210.0,97.0,12.0,,,,0.5,4.9,52.22,NaCl
211.0,100.0,0.0,2000.0,3.0,,0.5,4.9,24.86,NaCl
212.0,100.0,0.0,2500.0,7.0,,0.5,4.9,12.71,NaCl
213.0,100.0,0.0,3800.0,1.0,,0.5,4.9,44.41,NaCl
214.0,100.0,,333.0,8.0,3.0,0.5,4.9,22.57,NaCl
215.0,95.0,,1496.0,17.4,30.0,0.5,4.9,31.61,NaCl
216.0,100.0,,1000.0,5.0,,0.5,4.9,27.99,NaCl
217.0,100.0,11.0,,6.0,,0.5,4.9,31.57,NaCl
218.0,100.0,,394.0,10.9,5.0,0.5,4.9,-12.27,NaCl
219.0,95.0,,2877.0,18.0,60.0,0.5,4.9,24.06,NaCl
220.0,99.0,0.0,5900.0,13.0,,0.5,4.9,48.7,NaCl
221.0,100.0,,3650.0,7.0,,0.5,4.9,71.54,NaCl
222.0,100.0,0.0,6200.0,14.0,,0.5,4.9,32.75,NaCl
223.0,100.0,11.0,569.0,13.9,9.0,0.5,4.9,38.09,NaCl
224.0,100.0,10.0,425.0,12.4,6.0,0.5,4.9,30.27,NaCl
225.0,100.0,,,5.0,2.0,0.5,4.9,23.57,NaCl
226.0,100.0,0.0,7900.0,13.0,,0.5,4.9,34.52,NaCl
227.0,99.5,13.0,1520.0,17.4,31.0,0.5,4.9,29.57,NaCl
228.0,99.5,,,12.5,,0.5,4.9,10.59,NaCl
229.0,99.0,14.0,735.0,14.0,,0.5,4.9,31.86,NaCl
230.0,70.0,8.0,1526.0,17.3,30.0,0.5,4.9,50.11,NaCl
231.0,99.5,0.0,2000.0,15.0,10.0,0.5,4.9,35.54,NaCl
232.0,99.5,0.0,5800.0,8.0,20.0,0.5,4.9,27.15,NaCl
233.0,35.0,,,,,0.5,4.9,17.41,NaCl
234.0,85.0,9.0,1338.7071,,,0.5,4.9,15.88,NaCl
235.0,99.5,17.0,,5.0,,0.5,4.9,23.77,NaCl
236.0,40.0,21.0,,,,0.5,4.9,87.5,NaCl
