C#,Mw,HLB,EO,Conc,pH,IE,pH_original,medium
3.442253374765432,-0.07876364432259225,0.09662725701651269,-0.05960717605363757,0.9759000729485334,0.0,83.67949999999999,0.5,HCl
-0.17433458005266836,-0.517536542034674,-3.1409171933086533e-16,0.0,0.9759000729485334,0.0,80.988,0.5,HCl
-0.01709162549535965,0.0,-1.1410981743548005,0.0,-1.0246950765959597,0.0,58.49,0.5,HCl
-0.17433458005266836,0.0,-3.1409171933086533e-16,0.0,-1.0246950765959597,0.0,28.78,0.5,HCl
-0.8819278755605576,-0.3031285958235718,0.4502630945511736,-0.6029875102442566,-1.0246950765959597,0.0,13.26335,0.5,HCl
-0.8819278755605576,1.6098095744882481,0.09662725701651269,0.0,0.9759000729485334,0.0,82.38,0.5,HCl
0.0,-0.8238368503186198,-0.2746903723948812,-0.6935508992760264,-1.0246950765959597,0.0,57.22,0.5,HCl
-0.8819278755605576,0.11836625526208341,-1.4063250525057962,-0.6392128658569646,-1.0246950765959597,0.0,14.7061,0.5,HCl
-0.17433458005266836,-0.8393997371279363,-0.6813715855597413,-0.7841142883077963,0.9759000729485334,0.0,38.976299999999995,0.5,HCl
-0.8819278755605576,-0.5949327234982562,-1.4947340118894614,-0.6392128658569646,0.9759000729485334,0.0,80.3562,0.5,HCl
0.4546372381765665,-0.15317369687963678,0.9630350589764317,0.12151960200990211,0.9759000729485334,0.0,73.1922,0.5,HCl
0.06152985178329471,-0.7406726739313347,0.18503621640017792,-0.6029875102442566,-1.0246950765959597,0.0,66.2869,0.5,HCl
0.0,0.0,-1.317916093122131,-0.7478889326950884,-1.0246950765959597,0.0,83.69,0.5,HCl
0.0,-0.6273554043509989,-1.317916093122131,0.0,-1.0246950765959597,0.0,89.03,0.5,HCl
-0.8819278755605576,-0.3355512766763145,1.5995795665388215,-0.42186073218071696,-1.0246950765959597,0.0,28.1386,0.5,HCl
0.14015132906194908,-0.8724546602573073,-1.5477793875196604,-0.7660016105014423,-1.0246950765959597,0.0,38.31165000000001,0.5,HCl
0.14015132906194908,-0.7867615147635085,-0.027145286120618495,-0.6573255436633185,0.9759000729485334,0.0,81.3512,0.5,HCl
-0.8819278755605576,-0.3031285958235718,-1.6715519306567919,0.0,-1.0246950765959597,0.0,63.19,0.5,HCl
-0.8819278755605576,0.9613559574333939,0.09662725701651269,0.0,0.9759000729485334,0.0,81.7443,0.5,HCl
0.0,-0.018781684745018245,0.980716850853165,0.3026463800734418,0.9759000729485334,0.0,73.758,0.5,HCl
0.5332587154552209,-0.2878899358227827,0.8569443077160338,-0.05960717605363757,0.9759000729485334,0.0,73.3095,0.5,HCl
0.14015132906194908,-0.31544921454761404,0.980716850853165,-0.05960717605363757,0.9759000729485334,0.0,81.081,0.5,HCl
-0.8819278755605576,0.11836625526208341,-1.4063250525057962,-0.6392128658569646,0.9759000729485334,0.0,78.51545,0.5,HCl
-0.2529560573313227,-0.45681210306557224,0.8569443077160338,-0.24073395411717724,0.9759000729485334,0.0,57.792,0.5,HCl
0.0,-0.8238368503186198,-0.2746903723948812,-0.6935508992760264,0.9759000729485334,0.0,88.23,0.5,HCl
0.0,-0.6273554043509989,-1.317916093122131,0.0,0.9759000729485334,0.0,90.48,0.5,HCl
3.442253374765432,2.206386902178714,0.980716850853165,2.8384212729629974,0.9759000729485334,0.0,79.9227,0.5,HCl
-0.8819278755605576,-0.3031285958235718,0.4502630945511736,-0.6029875102442566,0.9759000729485334,0.0,82.6049,0.5,HCl
0.14015132906194908,-0.45875746391673683,0.8746260995927664,-0.2226212763108233,-1.0246950765959597,0.0,92.0574,0.5,HCl
3.442253374765432,-0.07876364432259225,0.27344517578384314,-0.05960717605363757,-1.0246950765959597,0.0,70.4802,0.5,HCl
0.14015132906194908,-0.8724546602573073,-1.5477793875196604,-0.7660016105014423,0.9759000729485334,0.0,56.37357,0.5,HCl
-0.8819278755605576,-0.14101519155985826,-0.96428025558747,0.0,0.9759000729485334,0.0,81.87,0.5,HCl
0.4546372381765665,-0.8128131388286872,-1.4416886362592625,-0.7841142883077963,0.9759000729485334,0.0,30.51,0.5,HCl
0.0,0.0,-3.1409171933086533e-16,0.0,0.9759000729485334,0.0,30.24,0.5,HCl
-0.8819278755605576,0.28047965952579695,-2.0251877681914525,0.0,0.9759000729485334,0.0,83.87,0.5,HCl
-0.8819278755605576,-0.9314801507497256,-0.7344169611899403,-0.7660016105014423,0.9759000729485334,0.0,5.725,0.5,HCl
-0.17433458005266836,0.0,-3.1409171933086533e-16,0.0,0.9759000729485334,0.0,48.69,0.5,HCl
-0.8819278755605576,-0.14101519155985826,-0.96428025558747,0.0,-1.0246950765959597,0.0,68.79,0.5,HCl
0.4546372381765665,0.0,-1.317916093122131,0.0,0.9759000729485334,0.0,88.08735,0.5,HCl
0.06152985178329471,0.0,-3.1409171933086533e-16,0.0,-1.0246950765959597,0.0,31.0788,0.5,HCl
-0.8819278755605576,0.9613559574333939,0.09662725701651269,0.0,-1.0246950765959597,0.0,72.5274,0.5,HCl
0.06152985178329471,0.0,-3.1409171933086533e-16,0.0,0.9759000729485334,0.0,66.3189,0.5,HCl
0.0,-0.018781684745018245,0.980716850853165,0.3026463800734418,-1.0246950765959597,0.0,70.015,0.5,HCl
-0.09571310277401401,-0.8140127780202386,0.008218297632847468,-0.6754382214696725,0.9759000729485334,0.0,84.28644999999999,0.5,HCl
0.0,-0.4665389073213951,0.8746260995927664,-0.24073395411717724,-1.0246950765959597,0.0,69.5875,0.5,HCl
-0.8819278755605576,-0.3355512766763145,1.5995795665388215,-0.42186073218071696,0.9759000729485334,0.0,80.04775000000001,0.5,HCl
0.14015132906194908,0.0,-3.1409171933086533e-16,0.0,0.9759000729485334,0.0,49.31,0.5,HCl
0.14015132906194908,-0.45875746391673683,0.8746260995927664,-0.2226212763108233,0.9759000729485334,0.0,85.12225000000001,0.5,HCl
-0.8819278755605576,-0.9314801507497256,-0.7344169611899403,-0.7660016105014423,-1.0246950765959597,0.0,18.675,0.5,HCl
-0.17433458005266836,-0.517536542034674,-3.1409171933086533e-16,0.0,-1.0246950765959597,0.0,59.313,0.5,HCl
0.4546372381765665,0.0,-1.317916093122131,0.0,-1.0246950765959597,0.0,70.21714999999999,0.5,HCl
